Sentence 1,Sentence 2,True Binary,Pred Binary,True Real,Pred Real
공항공사는 코로나19 대응 항공업계 긴급 지원방안 후속조치의 일환으로 항공사들에게 3월부터 3달간 시설사용료 납부를 유예하기로 했다.,정부는 항공사와 지상조업사에 대한 공항시설 사용료 감면과 납부유예를 당초 5월에서 8월까지로 3개월 연장하기로 했다.,0,0,1.166666666666667,2.7
형광등 쓰지마,습도기 전원 끄지마,0,0,0.2857142857142857,1.2
호주여행 3주간 호텔포함 단연 최고의 숙소였습니다.,이탈리아 여행 중 최고의 숙소였습니다.,0,0,1.333333333333333,1.8
다만 밤에 차소리가 조금 시끄럽습니다.,다만 집에 들어가는 입구가 조금은 무서웠습니다.,0,0,0.7142857142857143,2.5
산타 마리아 노벨라 광장과 매우 가깝고 피렌체 주요 관광지들 모두 도보로 이동 가능합니다.,지하철역과 가깝고 마레지구도 도보로 가능합니다.,0,0,1.428571428571429,2.5
이런 다중이용시설이 방역수칙을 한 번이라도 위반할 경우 집합금지 처분을 받게 된다.,이러한 다중 사용 시설이 한 번이라도 검역 규칙을 위반하면 수집이 금지됩니다.,0,1,2.833333333333333,4.2
"친절, 청결, 편안함, 위치, 서비스 모든것이 최고 였답니다.","친절, 청결, 편안함, 위치, 그리고 서비스가 모두 최고였습니다.",1,1,5.0,4.9
사실 하와이에는 상당히 많은 숙소가 있고 대단히 비쌉니다.,프라하에는 많은 환전소가 있지만 대개 수수료가 엄청납니다.,0,0,0.3333333333333333,0.5
일단 집은 사진에서 보이는 것처럼 아주 멋스러워요.,"우선, 그 집은 사진에서 볼 수 있듯이 매우 멋집니다.",1,1,4.333333333333333,4.8
로마에 다시 간다면 무조건 다시 예약할거에요,또 스페인에 간다면 무조건 재 예약할거에요!,0,0,2.4,2.5
호스트는 메세지 응답이 굉장히 빨랐어요,호스트가 메시지에 매우 빠르게 응답했습니다.,1,1,4.5,4.8
2. 어느 기관에서 언제부터 검사를 실시하나요?,2. 검사는 언제 시작합니까?,1,1,3.0,3.5
금리(0.3%∼0.9%p)와 보증료(0.15∼0.25%p) 우대 혜택이 있다.,"보증 비율(90% 이상), 보증료율(0.2%p 차감), 대상기업 전액 만기 연장 등의 우대 조건이 있다.",0,0,1.5,2.8
세탁기 건조기 드라이기 주방용품이 마음에 들었어요.,"특히, 매트리스 컨디션이 너무 마음에 들었어요.",0,0,1.0,2.5
"아침식사로 씨리얼, 토스트, 잼, 요거트, 커피 등등 제공해줍니다.","아침 식사로 시리얼, 토스트, 잼, 요구르트, 커피 등을 제공합니다.",1,1,4.833333333333333,4.8
저는 만족했던 로마에서의 4일이였습니다.,정말로 행복했던 파리에서의 이틀이었습니다.,0,0,1.0,2.7
본섬 들어가는 버스도 숙소 2분거리에 있어요.,숙소는 스페인계단 2분 거리에 있습니다.,0,0,1.166666666666667,2.5
이 숙소 덕분에 파리여행이 더욱 더 기억에 남을 것 같네요.,많은 여행 중 이보다 더한 따뜻함은 없을것같네요.,0,1,0.7142857142857143,3.8
"자세한 사항은 KIND, KOTRA 누리집을 통해 게재된다.",자세한 내용은 KIND와 KOTRA 웹사이트에 게시될 것입니다.,1,1,4.428571428571429,4.8
지금까지 이용한 에어비앤비중에 가장 좋았다.,지금까지 이용했던 에어비앤비 중에 제일 좋았어요!,1,1,4.6,4.9
정말 너무너무너무 완벽했던 숙소였습니다,아주 아주 아주 좋은 숙박시설이었죠.,1,1,3.666666666666667,4.8
그런데 와이파이가 정말 무용지물이였어요,하지만 와이파이는 정말 쓸모없었습니다.,1,1,4.333333333333333,4.8
걸어서1분거리에있는 식당에서 식사하는거예요.,주차는 10분 정도 거리에 있는 주차장에 주차 하시면 됩니다.,0,0,0.1428571428571428,1.8
독서할땐 형광등 키는 거 아니야,책 읽을때 형광등을 켜지마,1,1,3.714285714285714,4.8
방이 엄청 좁고 드나들기도 매우 불편합니다.,방이 엄청 넓고 침대도 정말 편안합니다.,0,0,1.5,2.0
아울러 새로운 기준·가이드라인 마련 등 관련 제도를 신설하거나 신규유형 추가 등 기존 규정을 개정하는 경우 네거티브 적용을 추진한다.,"또한, 정부는 새로운 기준 및 지침 작성과 같은 관련 시스템을 수립하거나 새로운 유형 추가와 같은 기존 규정을 개정할 때 부정적인 적용을 추진할 것입니다.",1,1,3.142857142857143,4.8
모던한 디자인에 화장실 정말 마음에 들어요 !,그리고 정말 청결한 점이 마음에 들어요.,0,0,0.5714285714285714,2.7
학교에서 보낸 메일 말고 학회 메일에 답변할 때에는 교수님을 참조에 포함시켜야 해.,학회에 답변할 때 연구실 사람을 모두 참조에 넣지 말고 교수님을 넣어줘.,0,1,2.166666666666667,3.5
로봇 청소기 사용은 자제해주시기 바랍니다.,로봇 청소기 썼다간 큰일난다,1,1,3.166666666666667,3.5
블루투스 스피커는 구입하지마,모니터말고 블루투스 기능이 없는 스피커는 거르자.,0,0,1.6,2.0
겨울에는 한국인들에겐 추울 것 같아요.,다만 겨울에는 방 온도가 살짝 추운것 같아요.,0,0,2.571428571428572,2.5
우리는 이곳에서 아주 좋은 시간을 보냈습니다.,아파트는 메트로에서 아주 가까운 좋은 위치에 있습니다.,0,0,0.4285714285714285,1.2
특히 같은 숙소를 쓰는 사람들을 다 소개해주세요.,조미료를 쓰는 요리를 해드실 분들은 참고하세요.,0,0,0.0,0.0
많은 전문가들이 예상하는 2차 대유행에도 대비해야 하는 상황입니다.,전문가들이 올해 가을 또는 겨울로 예상하는 2차 대유행에 대비하려면 매우 시급한 과제입니다.,0,1,2.666666666666667,3.8
에어비엔비 숙소와 별개의  건물 전체 경비원은 있는것 같았습니다.,에어비엔비 채팅은 자동응답으로 쓰는 것 같았어요.,0,0,1.142857142857143,1.8
다만 수건의 갯수가  부족하니까 호스트에게 여분의 수건을 요구하세요,하지만 수건이 부족하니 주인에게 수건을 더 달라고 하세요.,1,1,3.857142857142857,4.8
페이스북의 정보란에 메일을 쓰는건 금지되어 있습니다.,별표가 포함된 메일 주소는 사용할 수 없습니다.,0,0,0.8571428571428571,2.2
주변에 레스토랑이나 카페 등이 가까이 있는 점도 좋았구요.,저는 또한 근처에 식당과 카페가 있다는 사실이 마음에 들었습니다.,1,1,3.428571428571428,4.8
양질의 일자리 창출을 위해 기업의 역할이 매우 중요합니다.,양질의 일자리를 창출하기 위해서는 기업의 역할이 매우 중요합니다.,1,1,4.857142857142857,4.9
"구체적으로는 육상 어류양식어가(내수면어가 포함), 해상가두리 어류양식어가, 전복양식어가 등이다.","특히 육지 양식장(내륙 수면어류 포함), 해양 양식장, 전복 양식장 등이 있습니다.",1,1,3.5,4.8
덕분에 로마에서의 5일동안 대체적으로 만족스러운 시간을 보냈습니다.,덕분에 5주동안 프라하에서 행복한 시간을 보냈습니다.,0,0,1.6,2.5
방은 2 명으로 사용하려면 약간 좁은 느낌입니다.,그 방은 두 사람이 쓰기에는 조금 좁아요.,1,1,4.142857142857143,4.8
꼭 카드청구서는 다른 것 말고 지로통지로 받아야 해.,온라인 방식보다 지로통지로 카드 청구서를 받는게 좋을거야.,0,1,2.285714285714286,3.8
이러한 노력에 정부청사도 예외는 아니다.,본인은 이러한 특수한 시기에 한국에 부임하였다.,0,0,0.1428571428571428,0.0
"스포츠관람은 30% 수준으로 관중 입장을 제한하고, 실외 경기장에서의 마스크 착용도 의무화한다.","관람객들은 실내 스포츠경기장은 1단계부터, 실외 스포츠경기장은 1.5단계부터 마스크를 의무적으로 착용해야 한다.",0,0,1.5,2.7
화장실만 쫌 아쉽고 전체적으로 만족입니다!,"저는 욕실에 약간 실망했고, 전체로 만족해요!",1,1,3.166666666666667,4.8
학교 메일 도메인 주소 아냐?,학교에서 오는 메일의 도메인을 알려줘,1,1,3.571428571428572,4.8
빅벤 런던아이도 도보로 이동할 수 있어요,"빅벤, 런던아이는 걸어서 갈 수 있습니다.",1,1,4.428571428571429,4.8
"작년 말까지 사업자 대부분이 특구에 입주했고, 올해부터 실증사업이 본격적으로 시작됩니다.","작년 말까지, 대부분의 운영자들은 특별 구역으로 이사했고, 시범 프로젝트는 올해부터 본격적으로 시작될 예정입니다.",0,1,2.5,4.8
"지원대상은 시범지역으로 선정된 전국 27개 시·군·구로, 광역시·도 단위 사업 2곳과 시·군·구 단위 사업 14곳이다.",지원대상은 지난 15일 특별재난지역으로 선포된 대구광역시와 경상북도 3개 지역(경산시·청도군·봉화군) 및 도내 연접지역 등 총 11개 시·군으로 선정했다.,0,0,1.2,1.8
코로나19 위기는 그동안 진행되던 디지털 전환을 엄청난 속도로 가속화하는 시발점이 됐다는 것이 과기정통부의 설명이다.,과학기술정보통신부는 코로나 19 위기가 엄청난 속도로 진행되고 있는 디지털 전환을 가속화하기 위한 출발점이었다고 설명했습니다.,0,1,2.857142857142857,4.8
정부는 10일 열린 국무회의에서 이같은 내용의 제4차 일반회계 목적 예비비 지출안을 심의·의결했다.,정부는 3일 열린 국무회의에서 대구·경북 지역의 방역체계 구축과 긴급 돌봄 지원을 위한 일반회계 목적예비비 지출안을 심의·의결했다.,0,0,2.142857142857143,2.8
국민의 생명과 건강을 지키기 위해 노심초사 헌신하는 모든 분들의 노고에 깊이 감사드립니다.,앞으로도 소방관들의 안전과 건강을 지키는 데 국가가 최선을 다하겠다고 약속드립니다.,0,0,1.5,2.7
토론토 여행을 할 때 머물기 정말 좋은 숙소였습니다.,두세명이 머물기 아주 좋은 숙소였습니다.,0,0,1.333333333333333,2.8
예전처럼 아침 운동 일정을 마음대로 변경하기 보다는 잘 지켜주십시오.,앞으로는 아침 운동을 포기하지 말고 일정을 잘 지켜주세요.,0,1,2.857142857142857,3.8
센트럴파크 바로 앞 위치가 너무 좋습니다.,"에펠탑, 지하철, 마트 접근성등 위치가 너무 좋았습니다.",0,0,0.8571428571428571,2.8
그리고 관광하기에 교통이 참 좋았습니다,에어비앤비 위치도 관광하기에 매우 좋았습니다,0,0,2.166666666666667,2.8
현실화 계획으로 감사원에서 지적한 주택-토지간 공시가격 역전현상이 해소되는지?,감사원이 지적한 주택-토지 공시지가 역전현상이 실현계획으로 해결될까요?,0,1,2.666666666666667,4.8
올해 영화제에는 가족의 의미를 묻는 다양한 작품이 포진됐다.,올해 해당 프로그램에 1951억원의 예산이 책정됐다.,0,0,0.1428571428571428,0.0
공지 메일을 받는 사람이 누구누구야?,공지 메일을 보낼 대상을 알려주세요.,1,1,3.5,4.8
침대 매트에서 쉰내가 조금 나더라구요.,침대 매트에서는 약간 쉰 냄새가 났어요.,1,1,4.666666666666667,4.8
제가 묵었던 곳은 아파트먼트 꼭대기 층이었습니다.,제가 지금껏 가본 숙소중에 침대가 이렇게 편했던 곳은 없었던 것 같습니다.,0,0,0.5,2.5
이날 하루동안은 대구 경북지역에 17만 장을 공급했다.,"낮 동안, 17만 부가 대구와 경상북도에 공급되었습니다.",1,1,3.0,4.7
지난 9월 중간 경제전망에서 제시한 -1.0%에서 0.1%p 낮춘 수치다.,특히 올 3분기 잠정 GDP는 지난 10월 발표된 속보치(1.9%)보다도 0.2%p 상향된 수치다.,0,0,0.8571428571428571,2.2
스페인에서 보낸 5개의 숙박지 중에 최고였습니다.,이태리에서의 4개의 숙박중에 단연최고였어요.,0,0,2.0,2.5
저희는 집 안에서도 정말 많은 사진을 찍었습니다.,호스트는 집의 시설을 이용하는데 많은 도움을 주었습니다.,0,0,0.7142857142857143,1.8
그리고 이곳은 한가족이 살고 있는 집입니다.,매우 아름다운 뷰를 가지고 있는 집입니다.,0,0,0.5714285714285714,2.0
제 메일 주소에 광고 메일이 오지 않도록 설정해주세요.,제게 더 이상 광고메일이 오지 않게 조치 부탁합니다.,1,1,4.5,4.8
정부가 플랫폼 운송업체와 기존의 택시가 상생하기 위한 방안을 마련했다.,정부는 플랫폼 캐리어와 기존 택시와 공존할 계획을 내놓았습니다.,1,1,3.833333333333333,4.7
어두운 방안 밝기 조정하는 법 좀 알려주세요,어두운 방안은 습도 말고 밝기는 어떻게 조정해야하나요?,1,1,3.142857142857143,3.8
하이드 파크 등 중심가까지 걸어서 15분 정도 걸려요.,용캉제까지 걸어서 15분 정도 걸려요!,0,0,1.571428571428571,2.5
올해 중으로 고교학점제 선도지구 24곳을 신규 선정해 지원한다.,올해 안에 24개의 새로운 고등학교 학점 제도 선도 지역이 선정되고 지원될 것입니다.,1,1,3.666666666666667,4.8
토요일과 일요일에는 출생연도에 관계없이 신청 가능하다.,신청은 생년에 상관없이 토요일과 일요일에 할 수 있습니다.,1,1,4.166666666666667,4.8
청결 부분에 조금 더 신경을 쓴다면 더할나위 없는 방입니다.,부엌은 앞으로 더욱 청결에 신경써야할 부분입니다.,0,0,1.4,2.7
음악 듣는 건 금지되어있어,음악 들으면 안된다고 경고했어,1,0,3.428571428571428,2.5
집은 3인까지 지내기에는 무리없이 좋았습니다.,단점은 2인이상이 쓰기에는 침대가 좀 작았습니다.,0,0,0.1666666666666667,2.7
다음부터 도쿄 오면 여기서만 묵을 생각입니다.,다음에 바르셀로나 또 오면 여기서 묵을거에요,0,0,1.857142857142857,2.5
딱 둘 또는 셋이 아늑하게 지낼 수 있는 공간입니다.,두세 사람만의 아늑한 공간입니다.,1,1,3.5,4.8
네이버 메일 실사용비가 얼마야?,네이버 메일이랑 네이트 메일이 제공하는 첨부파일 전송 속도 중 뭐가 더 빠르지?,0,0,0.8333333333333334,2.1
숙소의 주방에서 직접 식사를 만들 수 있어 편리합니다.,빨래를 집에서 할 수 있어 장기 여행 시에 편리합니다.,0,0,0.5,2.5
라니냐가 발생할지 엘니뇨가 발생할지 알려주세요. 다음 연도에는.,내년에 라니냐와 엘니뇨 중 어떤 것이 생길 예정인가요?,1,1,4.142857142857143,4.8
마스크는 599만매와 손 소독제·방호복이 준비됐다.,"599만 개의 마스크, 손 세정제, 보호복이 준비되어 있습니다.",1,1,4.0,4.8
깜짝 파티 해야 하니까 부모님 결혼기념일 잊어버리지 마.,따로 용돈 드려야 하니까 부모님 결혼기념일날 잊지 마.,0,0,2.285714285714286,2.8
에어비엔비의 경험상 베스트에 드는 곳이라고 생각됩니다.,Airbnb의 경험으로 볼 때 가장 좋은 곳이라고 생각합니다.,1,1,4.428571428571429,4.8
기프트카드는 언제 수령할 수 있나요?,공수처는 대통령도 수사할 수 있나요?,0,0,0.1666666666666667,0.0
에어컨이랑 선풍기랑 통합 조절하는 방법 뭔지 알려줄래?,냉장고 안에 내용물 확인하는 방법이 뭘까?,0,0,0.3333333333333333,1.2
시각장애인의 자부심을 높이고 점자에 대한 국민의 인식 개선에 기여할 것으로 기대된다.,"자연어처리, 영상콘텐츠 등 다분야 데이터 확보를 통해 국민 체감형 인공지능 서비스 발전에 기여할 것으로 기대된다.",0,0,0.5,0.0
"지하철, 시외버스 등 대중교통차량 내 공기질을 개선해 고농도 미세먼지에도 안심할 수 있는 이용환경을 조성한다.","보건, 재난, 산림, 환경 등 남북이 서로 협력할 수 있는 방안을 적극적으로 발굴해 추진한다.",0,0,0.1666666666666667,1.2
정부의 방역 대책에 적극 반영하겠습니다.,우리는 정부의 검역 조치를 적극적으로 반영할 것입니다.,1,1,3.666666666666667,4.5
이사한 지역에서 다른 상품권 등을 신청할 수 있나요?,이사한 지역으로 지역 제한을 바꿀 수 있나요?,0,0,1.0,2.8
"주인이 터치도 안하고, 엄청 친절합니다.",주인은 손도 대지 않고 매우 친절합니다.,1,1,4.833333333333333,4.8
신청은 중소기업 유통지원 전문 포털사이트인 아임스타즈(www.imstars.or.kr)에서 가능하다.,일반인은 위원회 누리집 교육포털(www.copyright.or.kr/education)에서 온라인 저작권 교육 무료 수강 및 신청 방법 등을 확인할 수 있다.,0,0,0.4285714285714285,1.5
이로써 전국에 총 24개의 규제자유특구가 지정돼 운영된다.,전국 14개 규제자유특구 중 가장 규모가 큰 투자이며 대기업으로서도 최초입니다.,0,0,0.5,1.8
밀라노 중앙역과 주요 관광지와의 접근성이 좋습니다.,솔 광장과 마요르 광장과의 접근성이 좋습니다.,0,0,1.166666666666667,2.5
서울보증보험(SGI)의 전세대출보증 규제를 강화하도록 협조요청하는 이유는?,서울보증보험은 왜 전세금 규제를 강화하기 위해 협력을 요청하고 있습니까?,1,1,3.5,4.7
대전 미세먼지 예보를 알려주십시오.,대전 미세먼지 예보는 어떤가?,1,1,4.5,4.8
아빠는 날짜가 언제 가능하셔?,아버지는 어느 날짜에 시간이 되지?,1,1,4.6,4.5
가격 대비 만족도가 훨씬 높았던 숙소였습니다.,가격에 비해 숙박 시설이 훨씬 더 만족스러웠어요.,1,1,3.833333333333333,4.6
이밖에도 여객자동차 운수종사자에게 차량화재 발생시 대응 방법에 대한 교육을 의무화했다.,"또한, 승용차 운송 근로자는 차량 화재에 대처하는 방법에 대한 교육을 받아야 합니다.",1,1,3.285714285714286,3.8
미용실 예약하기 좋은 시간이 언제인지 말해 줘.,미용실 예약 할거면 언제가 편해?,1,1,3.6,4.6
호스트의 세심한 배려와 위트가 너무 따뜻했습니다.,세심한 배려와 너무 멋진 공간 모두 완벽했습니다!,0,0,2.428571428571428,2.7
집이 센트럴 출구 바로 건너편에 있어요,집 바로 건너편에 코코넛 아사이볼맛집있어요!,0,0,0.4285714285714285,1.8
정부가 밝힌 두 번째 정책과제는 바이오 연구개발 고도화 전략이다.,이날 ‘지원자’로서 정부가 밝힌 첫 번째 정책과제는 바이오 산업 사업화 촉진 및 지역기반 고도화 전략이다.,0,0,2.0,2.8
방에 넷플릭스랑 유튜브가 되는 티비가 있는 점도 정말 좋았어요!,또한 제 방에 넷플릭스와 유튜브가 있어서 좋았습니다!,0,1,2.857142857142857,4.5
경기내륙 예상 강수량 알려줘.,이번 태풍 진행 방향 알려줘.,0,0,0.5714285714285714,2.2
SR은 동대구·김천구미·신경주역에서 승하차하는 모든 국민에게 운임 10%를 할인해 준다.,"SR은 동대구역, 김천구미역, 신주역을 오가는 모든 승객을 대상으로 요금을 10% 할인해 드립니다.",1,0,4.333333333333333,2.9
"아, 그리고 고양이 산초도 너무 귀여워요",집에서 키우는 고양이도 너무 귀여워요.,0,1,2.857142857142857,3.5
‘ICT Cyber World 2020’ 전시회와 컨퍼런스 등 상세한 내용 및 이용방법 등은 누리집(www.ictcyberworld.com)에서 확인할 수 있다.,"한편, 행사에 대한 더욱 자세한 내용은 공식 누리집(www.kcommunityfestival.com)에서 확인할 수 있다.",0,0,0.4,1.8
집이 너무 좋은 것은 물론 호스트도 좋았습니다.,베란다에서보는 전망이 너무 좋았습니다.,0,0,0.1428571428571428,2.8
방에 비밀번호패드가 있는것도 굉장히 좋은것 같습니다,옷장에 옷걸이가 많이 있는 것도 좋았습니다.,0,0,0.3333333333333333,2.5
토론토는 연간 평균 기온이 어떻게 돼?,토론토의 연평균 기온은 어때?,1,1,4.571428571428571,4.8
나름의 인테리어철학이 있으신?듯한 느낌 많이 받았습니다,자신만의 인테리어 철학을 가지고 있나요?저는 많은 감정을 느꼈어요.,1,0,3.5,2.5
"야, 네가 좋아하는 게 어두운 조명이냐 밝은 조명이냐?",어두운 조명이랑 밝은 조명 중 선생님이 중요하게 생각하는 건 무엇인가요?,0,0,2.6,2.5
숙소의 청결함은 물론 호스트의 배려심에 감동했습니다.,나는 이 숙소의 호스트에 감동했습니다.,0,1,2.666666666666667,3.5
그러나 가격 대비 정말정말 만족한 숙소였습니다.,하지만 가격 대비 아주 만족스러운 숙박시설이었습니다.,1,1,4.714285714285714,4.8
연평균 강설량 알 수 있어? 벤쿠버지역.,벤쿠버는 일년에 평균적으로 눈이 얼마나 오지?,1,1,4.285714285714286,4.5
"간단히 쓸 수 있는 커피포트, 전자레인지도 있어요.",간단히 물이나 간식 과일살 수 있는 가게도 옆에 있어요.,0,0,0.8571428571428571,2.2
침대 사정상 가족단위보다는 2인정도가 좋을 것 같습니다.,키가 큰 사람한테는 침대가 짧을 것 같습니다.,0,0,0.8571428571428571,2.7
발달장애학생은 장애정도·특성에 따라 원격학습이 가능한 학생부터 어려운 학생까지 수준이 다양합니다.,발달 장애가 있는 학생들은 장애의 정도와 특성에 따라 원격으로 학습할 수 있는 학생부터 어려움을 겪는 학생까지 수준이 다양합니다.,1,1,4.666666666666667,4.8
눈 내릴 시에는 스노우타이어 끼세요. 방심은 금물입니다.,눈 내릴 때는 방심하면 안돼요. 스노우타이어 낍시다.,1,1,4.666666666666667,4.8
코로나바이러스감염증-19 중앙재난안전대책본부(이하 ‘중대본’)는 13일 정례 브리핑에서 이 같은 내용의 특별입국절차 운영현황과 추진계획을 밝혔다.,코로나바이러스감염증-19 중앙사고수습본부(이하 ‘중수본’)는 17일 정례 브리핑에서 이 같이 밝혔다.,0,0,2.6,2.5
주인분만 굉장히 친절하시고 유쾌하세요 !,주인분 너무 친절하시고 룸도 너무 깨끗해요!,0,0,2.4,2.7
제사 시간에 늦으면 일 하나도 도와드리지 못하니까 늦지 마라.,집안 어른들께 혼나기 싫으면 제사 시간 늦지 마.,0,1,2.0,3.5
글로벌 화학소재기업인 듀폰사가 한국에 극자외선(EUV)용 포토레지스트 생산시설을 만든다.,세계적인 화학 물질 회사인 듀폰은 한국에 EUV를 위한 사진 등록 생산 시설을 지을 예정입니다.,1,1,3.428571428571428,4.3
집안 조명은 어둡게 살짝만 켜놔.,집안 조명 밝게하는건 자제해주세요,1,1,3.0,4.6
영하의 날씨에는 얇게 입고 나가지 말라고 했지.,추위에는 손발 내놓지마.,0,0,0.3333333333333333,2.8
숙소로 들어오는 문여는게 조금은 어려웠다,그 숙소로 들어가는 문을 여기가 좀 어려웠어요.,1,1,4.333333333333333,4.5
산타마리아 노벨라 역에서 걸어서 15분 정도 소요 됩니다.,중앙역에서 걸어서 15분 정도 걸려요.,0,1,1.714285714285714,4.8
"위치가 너무 좋고, 사진 그대로입니다.","위치가 너무 좋고, 깨끗한 공간 입니다.",0,0,2.833333333333333,2.8
화장실 깨끗하고 따뜻한 물 잘 나와요!,화장실은 깨끗하고 따뜻해요!,0,0,2.714285714285714,2.8
"가령 가정폭력 가해자 미검거, 출소 임박, 디지털 성범죄 피해자의 경우 긴급 처리 안건으로 상정해 1개월 이내 처리한다.","예를 들어, 가정 폭력 가해자, 곧 감옥에서 풀려날 수 있는 사람, 디지털 성범죄 피해자들이 긴급 대처 의제로 올려지고 한 달 안에 처리됩니다.",1,1,3.8,4.2
"돈키호테, 편의점이 다 도보 15분 이내 거리라 쇼핑이나 음식 살때도 편합니다",돈키호테와 편의점은 걸어서 15분 이내에 갈 수 있어 쇼핑이나 음식 구입이 편리합니다.,1,1,4.571428571428571,4.8
웬만하면 에어컨은 자주 끄지 마,에어컨은 짧게 자주 끄면 전력낭비가 심해져,0,1,2.0,3.8
"기존에 산업은행, 기업은행, 신용보증기금 등에서 받은 대출과 보증은 만기가 1년 연장되고, 상환도 1년 유예된다.",또 기존에 사용하던 대출과 보증은 만기가 연장되고 원금 상환도 유예된다.,0,1,1.833333333333333,3.5
벌레에 민감하신 분들은 이 숙소가 불편할 수도 있습니다.,깔끔한 것에 예민하신 분들은 안 맞을 수 있습니다.,0,1,1.285714285714286,3.2
날이 흐릴 때 빨래하지마.,피부 노출하지마. 땡볕에는.,0,0,0.4,0.5
정부는 긴급재난지원금을 국민들께 직접 드리는 전례 없는 긴급 지원 방안을 결정했습니다.,정부는 4월 16일 긴급재난지원금 지원을 위한 2020년도 제2회 추가경정예산안을 국회에 제출했습니다.,0,0,1.666666666666667,2.8
"혹시 약속은 이번 달이 좋으실까요, 다음 달이 좋으실까요?",이번 달과 다음 달 중에 괜찮으신 시간을 알려주시겠어요?,1,1,3.857142857142857,4.6
4400만 명분은 우리나라 인구 88%가 접종할 수 있는 분량이다.,약 4400만 명의 사람들이 미국 인구의 88 퍼센트가 접종을 할 수 있습니다.,0,0,2.166666666666667,1.8
지하철로 뮌헨 중앙역까지 이동할 수 있습니다.,도보로 거의 모든 관광지를 이동할 수 있습니다.,0,0,0.5,1.8
우리는 통상장관들에게 세계적 대유행이 무역에 미치는 영향을 평가하도록 임무를 부여한다.,우리는 무역 장관들을 임명하여 세계적인 유행병이 무역에 미치는 영향을 평가합니다.,0,1,2.4,4.5
환경부는 6일 서울 삼성동 그랜드 인터컨티넨탈호텔에서 한국지속가능발전기업협의회와 공동으로 ‘제2회 지속가능기업 혁신 포럼’을 개최했다.,과학기술정보통신부는 28일 열린 일자리위원회에서 대통령직속 일자리위원회와 공동으로 이 같은 내용을 포함한 ‘연구소기업 혁신 성장 전략’을 의결·발표했다.,0,0,0.2857142857142857,1.8
호스트도 에어비앤비 메세지로 바로바로 연락 가능했어요.,호스트가 Airbnb 메시지를 통해 즉시 연락할 수 있습니다.,1,1,4.428571428571429,4.6
한 달 넘는 여행기간 숙소 거의 에어비앤비썼는데 여기가 제일 최악입니다.,"저는 에어비앤비를 한 달 이상 사용하고 있는데, 이곳이 가장 안 좋은 곳이에요.",1,1,3.428571428571428,4.8
위치 빼곤 모두 것이 완벽한 숙소입니다.,약간 방음이 안된다는 점 빼고 완벽한 숙소입니다.,0,0,1.333333333333333,2.8
하지만 시설들이 전반적으로 불편했어요.,그러나 시설들은 대체로 불편했습니다.,1,1,4.6,4.8
"침대도 깨끗하고, 욕실도 무척 청결합니다.","침구류도 충분하고, 시설도 청결합니다.",0,0,2.714285714285714,2.8
주변에 맛집 및 괜찮은 카페들도 많았어요.,주변에는 좋은 식당과 좋은 카페들이 많이 있었습니다.,1,1,4.142857142857143,4.5
종점에서 숙소까지 트램으로 25분 정도 걸렸습니다.,지하철에서 숙소까지 도보로 10분정도 걸렸습니다.,0,0,1.571428571428571,2.5
"수입선 다변화, 소재·부품·장비 산업 육성, 신시장 개척 등에 더욱 박차를 가해 주기 바랍니다.","수입 선박의 다양화, 자재, 부품 및 장비 산업의 발전, 새로운 시장의 발전을 가속화해 주십시오.",1,0,4.0,2.8
설마 주말 아침에 약속 잡을 생각을 하고 있는 건 아니겠지?,약속 시간을 정하실 거면 주말 아침이 아닌 시간으로 하십시오.,1,1,3.142857142857143,4.5
버스터미널과 시내까지 직행으로 갈수 있는 방법이 많이 있습니다,공항과 버스터미널에서  버스로 숙소까지 찾아갈수 있습니다,0,0,1.142857142857143,2.5
숙소 위치가 접근성도 좋고 안전합니다.,숙박시설에 접근하여 안전하게 이용할 수 있습니다.,1,1,3.333333333333333,4.5
일단 호스트 어머님이 마중 나오셨는데 정말 친절하십니다.,"우선, 당신의 호스트 엄마가 당신을 만나러 왔고 당신은 매우 친절합니다.",1,0,3.0,2.5
또 창문 너머로 바로 카사바트요뒷건물이 보입니다.,그리고 당신은 Casabat 뒤에 있는 건물을 바로 창문을 통해 볼 수 있습니다.,1,1,3.166666666666667,4.5
낡은 경찰버스는 차례로 수소버스로 교체할 예정이다.,낡은 경찰 버스는 차례로 수소 버스로 대체될 것입니다.,1,1,4.666666666666667,4.8
메일을 보내기 전에 귀찮게 생각하지 말고 내용을 두 번 체크해줘.,나중에 후회하지 말고 메일 보내기 전에 내용을 두 번 체크하자.,0,1,2.714285714285714,4.4
이태리 시골 가정집을 경험하고 싶은 분들에게 적극 추천합니다.,특별한 경험을 하고 싶은 분들에게 추천합니다.,0,0,1.4,2.8
"호스트도 굉장히 친절하며, 흠잡을 곳이 없는 숙소입니다.","화장실, 주방도 깨끗하고 흠 잡을 곳이 없는 숙소입니다.",0,1,2.6,3.6
"한편, 자세한 행사 내용은 슬기로운 과학생활 온라인 마당(www.슬기로운과학생활.kr)에서 확인할 수 있다.",공모에 관한 자세한 사항은 스마트시티 종합포털(smartcity.go.kr)에서 확인할 수 있다.,0,0,0.7142857142857143,1.5
숙소에서 트램 타는 곳 까지  2분 걸리는 것 같아요.,"숙소에서 산마르코광장까지는 2,30분 걸린것같습니다.",0,0,1.5,2.5
